Priority,Type,Institute,BranchCode,Branch,Reach,Reason
136,NIT,National Institute of Technology Durgapur,4111,Electrical Engineering,Good,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. likely — clears with margin (~675)."
137,NIT,National Institute of Technology Durgapur,4125,Mechanical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. SAFE — clears comfortably (closes ~961)."
138,NIT,National Institute of Technology Durgapur,4107,Chemical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Chemical — core; lab/process, brand carries it. SAFE — clears comfortably (closes ~936)."
139,NIT,National Institute of Technology Durgapur,5257,Chemical Engineering,Out,"Top-15 NIT, farther, but brand justifies. Chemical — core; lab/process, brand carries it. dream — closes ~36842 (above his rank), zero cost to list on top."
140,NIT,National Institute of Technology Durgapur,4127,Metallurgical and Materials Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Metallurgy/Materials — core; brand-dependent. SAFE — clears comfortably (closes ~1194)."
141,NIT,National Institute of Technology Durgapur,4109,Civil Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). SAFE — clears comfortably (closes ~1009)."
142,NIT,National Institute of Technology Durgapur,4104,Bio Technology,SAFE,"Top-15 NIT, farther, but brand justifies. Biotech — softer market; only as backup at a good brand. SAFE — clears comfortably (closes ~1286)."
143,NIT,National Institute of Technology Durgapur,5296,Biotechnology,Out,"Top-15 NIT, farther, but brand justifies. Biotech — softer market; only as backup at a good brand. dream — closes ~49920 (above his rank), zero cost to list on top."
144,NIT,National Institute of Technology Durgapur,5503,Chemistry,Out,"Top-15 NIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. dream — closes ~55165 (above his rank), zero cost to list on top."
145,NIT,Maulana Azad National Institute of Technology Bhopal,4110,Computer Science and Engineering,Out,"Top-15 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~136 (above his rank), zero cost to list on top."
146,NIT,Maulana Azad National Institute of Technology Bhopal,520F,Mathematics and Data Science,Out,"Top-15 NIT, farther, but brand justifies. AI/Data Science — high-demand software track. dream — closes ~14961 (above his rank), zero cost to list on top."
147,NIT,Maulana Azad National Institute of Technology Bhopal,4114,Electronics and Communication Engineering,Reach,"Top-15 NIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. reach — just short (~304); free to list."
148,NIT,Maulana Azad National Institute of Technology Bhopal,4111,Electrical Engineering,Good,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. likely — clears with margin (~570)."
149,NIT,Maulana Azad National Institute of Technology Bhopal,413N,Electrical Engineering with E Mobility,No-data,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. no PwD cutoff history; listed on merit."
150,NIT,Maulana Azad National Institute of Technology Bhopal,412X,Energy and Electrical Vehicle Engineering,Out,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. dream — closes ~25974 (above his rank), zero cost to list on top."
151,NIT,Maulana Azad National Institute of Technology Bhopal,4125,Mechanical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. SAFE — clears comfortably (closes ~839)."
152,NIT,Maulana Azad National Institute of Technology Bhopal,4107,Chemical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Chemical — core; lab/process, brand carries it. SAFE — clears comfortably (closes ~1403)."
153,NIT,Maulana Azad National Institute of Technology Bhopal,4501,Planning,Out,"Top-15 NIT, farther, but brand justifies. core/other branch — backup at a good brand. dream — closes ~351 (above his rank), zero cost to list on top."
154,NIT,Maulana Azad National Institute of Technology Bhopal,4180,Materials and Metallurgical Engineering,No-data,"Top-15 NIT, farther, but brand justifies. Metallurgy/Materials — core; brand-dependent. no PwD cutoff history; listed on merit."
155,NIT,Maulana Azad National Institute of Technology Bhopal,4109,Civil Engineering,Good,"Top-15 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). likely — clears with margin (~726)."
156,NIT,Maulana Azad National Institute of Technology Bhopal,522S,B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree),Out,"Top-15 NIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. dream — closes ~22839 (above his rank), zero cost to list on top."
157,NIT,"National Institute of Technology, Kurukshetra",4110,Computer Science and Engineering,Out,"Top-15 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~93 (above his rank), zero cost to list on top."
158,NIT,"National Institute of Technology, Kurukshetra",5216,Computer Science and Engineering,Out,"Top-15 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~7283 (above his rank), zero cost to list on top."
159,NIT,"National Institute of Technology, Kurukshetra",4188,Artificial Intelligence and Data Science,Out,"Top-15 NIT, farther, but brand justifies. AI/Data Science — high-demand software track. dream — closes ~3237 (above his rank), zero cost to list on top."
160,NIT,"National Institute of Technology, Kurukshetra",410P,Artificial Intelligence and Machine Learning,Out,"Top-15 NIT, farther, but brand justifies. AI/Data Science — high-demand software track. dream — closes ~161 (above his rank), zero cost to list on top."
161,NIT,"National Institute of Technology, Kurukshetra",4124,Mathematics and Computing,Out,"Top-15 NIT, farther, but brand justifies. Maths & Computing — places like CSE, strong analytics/software path. dream — closes ~269 (above his rank), zero cost to list on top."
162,NIT,"National Institute of Technology, Kurukshetra",4146,Information Technology,Out,"Top-15 NIT, farther, but brand justifies. IT — software-default, desk-based. dream — closes ~111 (above his rank), zero cost to list on top."
163,NIT,"National Institute of Technology, Kurukshetra",412B,Microelectronics & VLSI Engineering,Out,"Top-15 NIT, farther, but brand justifies. ECE-VLSI — chip/embedded, good placements, desk-based. dream — closes ~5641 (above his rank), zero cost to list on top."
164,NIT,"National Institute of Technology, Kurukshetra",4114,Electronics and Communication Engineering,Out,"Top-15 NIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. dream — closes ~183 (above his rank), zero cost to list on top."
165,NIT,"National Institute of Technology, Kurukshetra",5234,Electronics and Communication Engineering,Out,"Top-15 NIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. dream — closes ~4874 (above his rank), zero cost to list on top."
166,NIT,"National Institute of Technology, Kurukshetra",4111,Electrical Engineering,Good,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. likely — clears with margin (~547)."
167,NIT,"National Institute of Technology, Kurukshetra",5217,Electrical Engineering,Out,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. dream — closes ~373 (above his rank), zero cost to list on top."
168,NIT,"National Institute of Technology, Kurukshetra",4125,Mechanical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. SAFE — clears comfortably (closes ~865)."
169,NIT,"National Institute of Technology, Kurukshetra",5233,Mechanical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. SAFE — clears comfortably (closes ~1990)."
170,NIT,"National Institute of Technology, Kurukshetra",411C,Industrial Internet of Things,Good,"Top-15 NIT, farther, but brand justifies. Production/Industrial — core; decent at top NITs. likely — clears with margin (~655)."
171,NIT,"National Institute of Technology, Kurukshetra",4136,Production and Industrial Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Production/Industrial — core; decent at top NITs. SAFE — clears comfortably (closes ~2564)."
172,NIT,"National Institute of Technology, Kurukshetra",412A,ROBOTICS & AUTOMATION,Reach,"Top-15 NIT, farther, but brand justifies. core/other branch — backup at a good brand. reach — just short (~366); free to list."
173,NIT,"National Institute of Technology, Kurukshetra",412D,SUSTAINABLE ENERGY TECHNOLOGIES,Out,"Top-15 NIT, farther, but brand justifies. core/other branch — backup at a good brand. dream — closes ~13362 (above his rank), zero cost to list on top."
174,NIT,"National Institute of Technology, Kurukshetra",4109,Civil Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). SAFE — clears comfortably (closes ~1108)."
175,NIT,"National Institute of Technology, Kurukshetra",5213,Civil Engineering,Out,"Top-15 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). dream — closes ~38018 (above his rank), zero cost to list on top."
176,NIT,"National Institute of Technology, Jamshedpur",4110,Computer Science and Engineering,Out,"Top-15 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~294 (above his rank), zero cost to list on top."
177,NIT,"National Institute of Technology, Jamshedpur",4114,Electronics and Communication Engineering,Borderline,"Top-15 NIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. borderline — right at the line (~390)."
178,NIT,"National Institute of Technology, Jamshedpur",4111,Electrical Engineering,Good,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. likely — clears with margin (~539)."
179,NIT,"National Institute of Technology, Jamshedpur",4125,Mechanical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. SAFE — clears comfortably (closes ~1415)."
180,NIT,"National Institute of Technology, Jamshedpur",4136,Production and Industrial Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Production/Industrial — core; decent at top NITs. SAFE — clears comfortably (closes ~2482)."
181,NIT,"National Institute of Technology, Jamshedpur",4192,Engineering and Computational Mechanics,Out,"Top-15 NIT, farther, but brand justifies. core/other branch — backup at a good brand. dream — closes ~21317 (above his rank), zero cost to list on top."
182,NIT,"National Institute of Technology, Jamshedpur",4127,Metallurgical and Materials Engineering,Out,"Top-15 NIT, farther, but brand justifies. Metallurgy/Materials — core; brand-dependent. dream — closes ~45058 (above his rank), zero cost to list on top."
183,NIT,"National Institute of Technology, Jamshedpur",4109,Civil Engineering,Reach,"Top-15 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). reach — just short (~928); free to list."
184,NIT,"National Institute of Technology, Silchar",4110,Computer Science and Engineering,Out,"Top-15 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~220 (above his rank), zero cost to list on top."
185,NIT,"National Institute of Technology, Silchar",4114,Electronics and Communication Engineering,Borderline,"Top-15 NIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. borderline — right at the line (~970)."
186,NIT,"National Institute of Technology, Silchar",4142,Electronics and Instrumentation Engineering,Good,"Top-15 NIT, farther, but brand justifies. Electronics — circuit branch, desk-based. likely — clears with margin (~1439)."
187,NIT,"National Institute of Technology, Silchar",4111,Electrical Engineering,Good,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. likely — clears with margin (~769)."
188,NIT,"National Institute of Technology, Silchar",4125,Mechanical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. SAFE — clears comfortably (closes ~1335)."
189,NIT,"National Institute of Technology, Silchar",4109,Civil Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). SAFE — clears comfortably (closes ~1369)."
190,IIIT,"Indian Institute of Information Technology, Allahabad",5424,B. Tech. Information Technology-Business Informatics (IT- BIn) - Master of Business Administration (MBA),No-data,"Top IIIT, farther, but brand justifies. IT — software-default, desk-based. no PwD cutoff history; listed on merit."
191,IIIT,"Indian Institute of Information Technology, Allahabad",4146,Information Technology,Out,"Top IIIT, farther, but brand justifies. IT — software-default, desk-based. dream — closes ~210 (above his rank), zero cost to list on top."
192,IIIT,"Indian Institute of Information Technology, Allahabad",5280,Information Technology,No-data,"Top IIIT, farther, but brand justifies. IT — software-default, desk-based. no PwD cutoff history; listed on merit."
193,IIIT,"Indian Institute of Information Technology, Allahabad",4186,Information Technology-Business Informatics,Out,"Top IIIT, farther, but brand justifies. IT — software-default, desk-based. dream — closes ~198 (above his rank), zero cost to list on top."
194,IIIT,"Indian Institute of Information Technology, Allahabad",4114,Electronics and Communication Engineering,Reach,"Top IIIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. reach — just short (~288); free to list."
195,IIIT,"Indian Institute of Information Technology, Allahabad",5234,Electronics and Communication Engineering,No-data,"Top IIIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. no PwD cutoff history; listed on merit."
196,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4110,Computer Science and Engineering,Reach,"Top IIIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. reach — just short (~330); free to list."
197,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4114,Electronics and Communication Engineering,Good,"Top IIIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. likely — clears with margin (~672)."
198,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4125,Mechanical Engineering,SAFE,"Top IIIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. SAFE — clears comfortably (closes ~1379)."
199,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4176,Smart Manufacturing,SAFE,"Top IIIT, farther, but brand justifies. core/other branch — backup at a good brand. SAFE — clears comfortably (closes ~1442)."
200,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4110,Computer Science and Engineering,Out,"Top IIIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~229 (above his rank), zero cost to list on top."
201,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4144,Electrical and Electronics Engineering,Good,"Top IIIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. likely — clears with margin (~639)."
202,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5B01,Integrated B. Tech.(IT) and M. Tech (IT),Reach,"Top IIIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. reach — just short (~345); free to list."
203,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5C01,Integrated B. Tech.(IT) and MBA,Good,"Top IIIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. likely — clears with margin (~746)."
204,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,411M,Mathematics and Scientific Computing,Good,"Top IIIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. likely — clears with margin (~631)."
205,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4110,Computer Science and Engineering,Out,"Top IIIT, South/Central India, reachable. CSE — best placements & most accessible career for his condition. dream — closes ~208 (above his rank), zero cost to list on top."
206,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5216,Computer Science and Engineering,Reach,"Top IIIT, South/Central India, reachable. CSE — best placements & most accessible career for his condition. reach — just short (~313); free to list."
207,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4196,Computer Science and Engineering with Major in Artificial Intelligence,Out,"Top IIIT, South/Central India, reachable. CSE+AI/DS — elite software placements, ideal desk-role fit. dream — closes ~267 (above his rank), zero cost to list on top."
208,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",523T,B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,Good,"Top IIIT, South/Central India, reachable. ECE-VLSI — chip/embedded, good placements, desk-based. likely — clears with margin (~1371)."
209,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",521Q,B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,SAFE,"Top IIIT, South/Central India, reachable. ECE — strong circuit branch, software-convertible. SAFE — clears comfortably (closes ~1165)."
210,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4114,Electronics and Communication Engineering,Good,"Top IIIT, South/Central India, reachable. ECE — strong circuit branch, software-convertible. likely — clears with margin (~494)."
211,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5A11,B.Tech in Mechanical Engineering and M.Tech in AI and Robotics,SAFE,"Top IIIT, South/Central India, reachable. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. SAFE — clears comfortably (closes ~902)."
212,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4125,Mechanical Engineering,Good,"Top IIIT, South/Central India, reachable. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. likely — clears with margin (~619)."
213,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",413C,Design Engineering,SAFE,"Top IIIT, South/Central India, reachable. core/other branch — backup at a good brand. SAFE — clears comfortably (closes ~2217)."
214,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4176,Smart Manufacturing,SAFE,"Top IIIT, South/Central India, reachable. core/other branch — backup at a good brand. SAFE — clears comfortably (closes ~887)."
215,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4117,Engineering Physics,Out,"Top IIIT, South/Central India, reachable. 5-yr integrated science — niche; backup only. dream — closes ~15149 (above his rank), zero cost to list on top."
216,IIIT,Indian Institute of Information Technology Lucknow,4184,Computer Science,Reach,"Top IIIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. reach — just short (~362); free to list."
217,IIIT,Indian Institute of Information Technology Lucknow,410C,Computer Science and Business,Borderline,"Top IIIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. borderline — right at the line (~459)."
218,IIIT,Indian Institute of Information Technology Lucknow,4190,Computer Science and Artificial Intelligence,Borderline,"Top IIIT, farther, but brand justifies. CSE+AI/DS — elite software placements, ideal desk-role fit. borderline — right at the line (~451)."
219,IIIT,Indian Institute of Information Technology Lucknow,4146,Information Technology,Out,"Top IIIT, farther, but brand justifies. IT — software-default, desk-based. dream — closes ~236 (above his rank), zero cost to list on top."
220,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410G,Computer Science Engineering (Human Computer lnteraction and Gaming Technology),Good,"Top IIIT, South/Central India, reachable. CSE — best placements & most accessible career for his condition. likely — clears with margin (~610)."
221,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,4110,Computer Science and Engineering,Good,"Top IIIT, South/Central India, reachable. CSE — best placements & most accessible career for his condition. likely — clears with margin (~666)."
222,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410E,Computer Science Engineering (Artificial lntelligence and Machine Learning),No-data,"Top IIIT, South/Central India, reachable. CSE+AI/DS — elite software placements, ideal desk-role fit. no PwD cutoff history; listed on merit."
223,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410F,Computer Science Engineering (Data Science and Analytics),Good,"Top IIIT, South/Central India, reachable. CSE+AI/DS — elite software placements, ideal desk-role fit. likely — clears with margin (~679)."
224,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,4114,Electronics and Communication Engineering,SAFE,"Top IIIT, South/Central India, reachable. ECE — strong circuit branch, software-convertible. SAFE — clears comfortably (closes ~1458)."
225,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410H,Electronics and Communication Engineering (Internet of Things),SAFE,"Top IIIT, South/Central India, reachable. ECE — strong circuit branch, software-convertible. SAFE — clears comfortably (closes ~1046)."
226,IIIT,Indian Institute of Information Technology (IIIT) Pune,4110,Computer Science and Engineering,Good,"Top IIIT, South/Central India, reachable. CSE — best placements & most accessible career for his condition. likely — clears with margin (~578)."
227,IIIT,Indian Institute of Information Technology (IIIT) Pune,4188,Artificial Intelligence and Data Science,No-data,"Top IIIT, South/Central India, reachable. AI/Data Science — high-demand software track. no PwD cutoff history; listed on merit."
228,IIIT,Indian Institute of Information Technology (IIIT) Pune,413X,Microelectronics and VLSI Design,No-data,"Top IIIT, South/Central India, reachable. ECE-VLSI — chip/embedded, good placements, desk-based. no PwD cutoff history; listed on merit."
229,IIIT,Indian Institute of Information Technology (IIIT) Pune,4114,Electronics and Communication Engineering,Good,"Top IIIT, South/Central India, reachable. ECE — strong circuit branch, software-convertible. likely — clears with margin (~728)."
230,IIIT,Indian Institute of Information Technology (IIIT) Pune,413W,Cyber Security,No-data,"Top IIIT, South/Central India, reachable. core/other branch — backup at a good brand. no PwD cutoff history; listed on merit."
231,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4110,Computer Science and Engineering,SAFE,"Top IIIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. SAFE — clears comfortably (closes ~1201)."
232,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",411G,Artificial Intelligence and Data Engineering,SAFE,"Top IIIT, farther, but brand justifies. AI/Data Science — high-demand software track. SAFE — clears comfortably (closes ~1138)."
233,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4114,Electronics and Communication Engineering,SAFE,"Top IIIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. SAFE — clears comfortably (closes ~1499)."
234,GFTI,University of Hyderabad,5314,Computer Science and Engineering,No-data,"Premium GFTI, very close to Hyderabad. CSE — best placements & most accessible career for his condition. no PwD cutoff history; listed on merit."
235,GFTI,University of Hyderabad,5313,Materials Engineering,SAFE,"Premium GFTI, very close to Hyderabad. Metallurgy/Materials — core; brand-dependent. SAFE — clears comfortably (closes ~1263)."
236,GFTI,"Punjab Engineering College, Chandigarh",4110,Computer Science and Engineering,No-data,"Premium GFTI, farther, but brand justifies. CSE — best placements & most accessible career for his condition. no PwD cutoff history; listed on merit."
237,GFTI,"Punjab Engineering College, Chandigarh",4603,Computer Science Engineering (Artificial Intelligence),No-data,"Premium GFTI, farther, but brand justifies. CSE+AI/DS — elite software placements, ideal desk-role fit. no PwD cutoff history; listed on merit."
238,GFTI,"Punjab Engineering College, Chandigarh",4604,Computer Science Engineering (Data Science),No-data,"Premium GFTI, farther, but brand justifies. CSE+AI/DS — elite software placements, ideal desk-role fit. no PwD cutoff history; listed on merit."
239,GFTI,"Punjab Engineering College, Chandigarh",4124,Mathematics and Computing,No-data,"Premium GFTI, farther, but brand justifies. Maths & Computing — places like CSE, strong analytics/software path. no PwD cutoff history; listed on merit."
240,GFTI,"Punjab Engineering College, Chandigarh",411H,Electronics Engineering (VLSI Design and Technology),No-data,"Premium GFTI, farther, but brand justifies. ECE-VLSI — chip/embedded, good placements, desk-based. no PwD cutoff history; listed on merit."
241,GFTI,"Punjab Engineering College, Chandigarh",4114,Electronics and Communication Engineering,No-data,"Premium GFTI, farther, but brand justifies. ECE — strong circuit branch, software-convertible. no PwD cutoff history; listed on merit."
242,GFTI,"Punjab Engineering College, Chandigarh",4111,Electrical Engineering,No-data,"Premium GFTI, farther, but brand justifies. EEE — solid circuit branch, software-convertible. no PwD cutoff history; listed on merit."
243,GFTI,"Punjab Engineering College, Chandigarh",4125,Mechanical Engineering,No-data,"Premium GFTI, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. no PwD cutoff history; listed on merit."
244,GFTI,"Punjab Engineering College, Chandigarh",4136,Production and Industrial Engineering,No-data,"Premium GFTI, farther, but brand justifies. Production/Industrial — core; decent at top NITs. no PwD cutoff history; listed on merit."
245,GFTI,"Punjab Engineering College, Chandigarh",4101,Aerospace Engineering,No-data,"Premium GFTI, farther, but brand justifies. core/other branch — backup at a good brand. no PwD cutoff history; listed on merit."
246,GFTI,"Punjab Engineering College, Chandigarh",4127,Metallurgical and Materials Engineering,No-data,"Premium GFTI, farther, but brand justifies. Metallurgy/Materials — core; brand-dependent. no PwD cutoff history; listed on merit."
247,GFTI,"Punjab Engineering College, Chandigarh",4109,Civil Engineering,No-data,"Premium GFTI, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). no PwD cutoff history; listed on merit."
